video,frame_index,x_px,y_px,status,target
WhatsApp Video 2026-07-08 at 22.56.32.mp4,300,243,120,visible,bar_sleeve_end
WhatsApp Video 2026-07-08 at 22.56.32.mp4,620,271,224,visible,bar_sleeve_end
WhatsApp Video 2026-07-08 at 22.56.32.mp4,940,266,132,visible,bar_sleeve_end
WhatsApp Video 2026-07-08 at 22.56.32.mp4,1260,253,137,visible,bar_sleeve_end
WhatsApp Video 2026-07-08 at 22.56.32.mp4,1580,298,399,visible,bar_sleeve_end
WhatsApp Video 2026-07-08 at 22.56.32.mp4,1900,272,213,visible,bar_sleeve_end
WhatsApp Video 2026-07-08 at 22.56.32.mp4,2220,234,129,visible,bar_sleeve_end
WhatsApp Video 2026-07-08 at 22.56.32.mp4,2540,282,356,visible,bar_sleeve_end
WhatsApp Video 2026-07-08 at 22.56.32.mp4,2860,220,401,visible,bar_sleeve_end
WhatsApp Video 2026-07-08 at 22.56.32.mp4,3180,220,400,visible,bar_sleeve_end
